0,1,2,3,4,5,6,7,8,9
-8646.00353139083,-8829.04341765869,-9430.735671481827,-9724.134280699183,-9667.623585887866,-9607.227206125981,-9521.60763908057,-9822.567965582897,-9565.329168439619,-9720.791092136456
-8137.392611957904,-8418.335794147473,-8670.160514433077,-8886.236963129693,-8981.767334424123,-8896.909751986976,-8687.109492311925,-8940.550103474527,-8867.591671173559,-8673.259295454218
-9747.325194624795,-10055.540736688834,-10173.678183140753,-10385.077781789258,-10317.94184968659,-10157.165259939593,-10205.446291633843,-10498.501789236532,-10256.363620265183,-10159.935111967632
-7589.4400932566305,-7875.64389554205,-8471.099179980705,-8661.2724775383,-8899.75935365838,-8607.464118445703,-8370.617911833988,-8610.854873801614,-8645.07978987794,-8634.106088075383
-7208.285778481192,-7437.84534597832,-7789.008266146765,-8066.11879107643,-7841.608803694715,-7803.614909404329,-7669.818300898697,-7930.752964324192,-7842.324529633626,-7738.070122176992
-6176.701601514089,-6727.995020092164,-6794.921751320424,-7174.725570722923,-7253.8167405993,-7111.906761929578,-6781.805674911822,-7069.332449030097,-6968.600006477456,-7072.358491762146
-8637.116087027804,-8951.510059977494,-9108.795958468118,-9149.884925204378,-9257.346703140056,-9128.30335504472,-9134.361892988327,-9314.678813960438,-9070.713381354546,-9071.607710659222
-7750.330391891519,-7981.970817819293,-8127.374851904116,-8209.494407054903,-8295.742923774193,-8235.263263871726,-8154.030415340239,-8263.164389464073,-8151.379334797316,-8066.62521167314
-9308.615207455057,-9417.067594499878,-10103.802739635084,-10315.28710748106,-10233.091391218602,-10103.298204442515,-10185.759224607957,-10445.795201310153,-10154.846856949707,-10223.5663142855
-7587.475343311233,-7660.550801571943,-8264.577910676619,-8468.898398811942,-8593.390530115235,-8500.648369993805,-8195.52812257996,-8476.751229907095,-8399.617667683018,-8393.68791732731
-6226.894559749886,-6486.255529748743,-6636.766474122696,-6877.203496585337,-7176.386639859556,-7080.320283792038,-6631.7404813083285,-6892.681770246303,-6879.5479215823525,-6946.6201790835075
-7207.132174451217,-7586.603711622164,-7905.2177412538485,-8361.359383853123,-8599.137098023686,-8364.898199813164,-7902.276066511409,-8281.627467509794,-8044.981179578386,-8181.597683652982
-6200.416480775701,-6628.078621585755,-6953.329955881839,-7233.584623492329,-7191.278429297178,-7152.518628625439,-6909.762537885104,-7165.944100142234,-6928.043798927267,-6923.017242066888
-6987.324661246468,-7277.089504935487,-7400.126351140415,-7614.7809109908385,-8010.758219213069,-7985.368129860492,-7465.7987948966365,-7460.383055622467,-7636.937077183857,-7471.036963020848
-5378.965468167473,-5723.974821789347,-5768.634409752675,-6117.980945696492,-6437.394771922814,-6038.755803032422,-5832.8929969217415,-6073.4146925927635,-6146.6778099996955,-6124.354140297342
-8182.330135635787,-8378.818553885221,-9065.065274021492,-9316.46752559949,-9301.96874153913,-9181.708545095755,-9077.449944207401,-9284.609460952346,-9093.090379618128,-9123.460446556193
-4500.187119910002,-4680.2738941511025,-4991.800191285429,-5172.861760247466,-5493.764966570622,-5284.082352481005,-4930.646225058016,-5125.972900704211,-5104.617184010387,-5146.16300840923
-8193.325451044437,-8394.925226585003,-8929.302367136686,-9242.023704874728,-9159.72613548539,-9005.780197587173,-8947.909967749343,-9256.91374924089,-8980.719437032902,-9013.607880715359
-6391.609378628875,-6730.92320888261,-6868.301564382674,-7159.094451899051,-7243.527936900726,-7243.727269152465,-6874.451340075097,-7227.069097889122,-7074.609195874213,-7166.962251005136
-9220.31756214591,-9313.327395441936,-9650.512832271772,-9754.118881029495,-9832.497960780342,-9727.57063223692,-9710.712928903473,-9814.041103255762,-9544.154728900861,-9617.50060929055
-12452.128651225024,-12659.539780748097,-13407.731660575435,-13658.703453103433,-13630.608385730447,-13574.744668277073,-13614.802967616877,-13866.76667601977,-13596.920328460228,-13547.131835534105
-4882.675103994924,-5172.5315024141855,-5413.238064253461,-5656.497013556103,-6061.860131718407,-5800.900100389842,-5395.689062842405,-5689.172880070122,-5613.44847260575,-5638.132414982164
-7687.817014857855,-8240.857953589977,-8519.996151155778,-8819.18240033578,-9045.261513375655,-8884.006563172608,-8577.863449784698,-8823.766165313702,-8628.865116933288,-8609.73012071721
-8067.8426602577565,-8016.455509558414,-8862.464515206115,-8892.691702725911,-9349.998310436946,-9147.471114158057,-8729.62313191008,-8710.865864838497,-8754.419475096955,-8694.358838781422
-5487.525290075324,-5349.76140608875,-5995.019296686165,-5952.433733641658,-6203.521841307919,-5939.400484689506,-5857.020871455467,-5855.710511555308,-5773.533607494458,-5862.591335140469
-4982.388711124301,-4946.133270001717,-5375.050354640778,-5295.230468816663,-5683.972000165554,-5429.427516282955,-5309.066689077764,-5281.125900354562,-5377.63596184324,-5413.371264072648
-4662.083827886752,-4578.390832988716,-5147.373552553551,-5034.013683755861,-5433.392726070242,-5118.419044600519,-5052.516573863221,-4980.531486905197,-4993.347969343337,-5072.398708994157
